year,month,day,hour,latitude,longitude,DEM,TP,DT,tas,RH,WbT,WS,EPT,T400,T500,T650,T700,T750,T800,T850,T900,T950,T975,400RH,500RH,650RH,700RH,750RH,800RH,850RH,900RH,950RH,975RH,400VV,500VV,650VV,700VV,750VV,800VV,850VV,900VV,950VV,975VV,FR,name
2001,12,30,20,34.1,108.6,409.9095154,0.962025,-2.4627136,0.8691345,0.784094553,-0.5065387,2.526348548,16.3405389,-37.7159943,-25.5380768,-11.5754913,-7.3235687,-3.9209808,-0.1071838,3.1967712,6.9498993,9.1572052,11.2217194,8.50E-07,3.16E-06,7.77E-06,9.32E-06,1.15E-05,1.41E-05,1.82E-05,0.334076089,0.407720375,0.610069008,0.371994972,0.65286541,-0.41582489,-0.852222443,-0.910551071,-0.767245293,-0.288234711,-0.315262794,0.484441757,0.608516693,FALSE,Northwestern
2016,2,24,8,31.4,110.7,692.321228,0.347674,1.2691132,10.5770508,0.525455047,6.08955,1.460456102,15.887623,-29.0128235,-21.0289978,-11.253302,-8.6064514,-5.7157806,-1.6116394,2.7641846,6.9446655,10.1837097,11.5867706,5.56E-06,7.19E-06,1.58E-05,2.08E-05,2.71E-05,3.54E-05,3.60E-05,0.556755533,0.516609564,0.513910275,-0.041659355,-0.203783989,-0.131245613,0.016764641,-0.059212685,-0.215849876,-0.317310333,-0.372156143,-0.468935013,-0.457262993,FALSE,Central
2005,2,9,14,27.1,113,129.0032349,3.253497,0.672464,1.2820221,0.957096348,1.0279865,3.743595431,15.855718,-25.2435822,-13.4441742,0.0710083,1.5670258,5.7357574,4.9770294,2.7334839,-0.5980438,-2.6115173,-1.6498169,2.24E-06,8.39E-06,1.90E-05,5.34E-05,7.42E-05,6.77E-05,5.41E-05,0.989839144,0.983149446,0.994356117,-0.243707657,-0.324890137,-0.611031532,-0.584483147,-0.492390633,-0.261158943,-0.12238121,-0.074990273,-0.138493538,-0.092891693,FALSE,Central
2005,12,10,2,27.1,114,841.3474121,0.165481,7.182962,8.1134888,0.93854329,7.6249231,0.689270261,20.2531714,-16.8036865,-9.0510925,-1.0461487,2.7608887,4.4617706,6.2029968,6.9307037,7.297876,7.1964966,7.8511139,1.44E-06,7.42E-07,4.80E-05,6.47E-05,6.89E-05,7.37E-05,7.23E-05,0.862721329,0.830115643,0.929895143,0.133933067,-0.051354408,-0.066039085,-0.156146049,-0.088903427,-0.073106766,-0.140202522,-0.203792572,-0.15215683,-0.065927505,FALSE,Southeastern
2012,1,23,8,27.3,103.8,1950,0.01,-3.3,-3,0.974,-3.11,1.675840794,59.7922114,-14.0417694,-9.1284546,-3.6294464,1.5045868,6.4362274,10.8875519,14.1058746,17.2502686,20.227533,21.7012421,0.01444232,0.110126228,0.77040494,0.595914106,0.482075586,0.393155851,0.397364435,0.398772936,0.400220242,0.399950056,-0.053108215,-0.225956917,-0.335848808,-0.830370903,-0.539134026,-0.006173134,-0.00996685,-0.00835228,-0.009719849,-0.011431694,TRUE,Southwestern
2019,12,18,8,28.5,118.2,229.03862,0.819199,6.6578766,10.1675049,0.788375571,8.3311166,3.071912739,20.8729286,-21.8197235,-11.7198395,-1.4154114,1.126413,4.3683258,6.7663208,7.5222717,7.1175476,6.4022766,8.1751495,1.77E-06,5.07E-06,3.32E-05,4.74E-05,6.25E-05,7.40E-05,7.21E-05,0.969761577,0.934028578,0.870278416,0.036623001,-0.051742554,0.08662796,0.118071556,-0.115187645,-0.283307076,-0.271903038,-0.161558151,0.105628967,0.137243271,FALSE,Southeastern
2015,12,1,8,32.6,111.5,239.7099152,0.481591,7.2731415,13.3495117,0.666595883,10.057474,0.836314661,20.4159617,-27.8570465,-15.2943176,-2.8584656,-0.462439,2.3303314,5.0603882,7.0867096,8.52659,9.8916718,12.0056396,7.76E-06,1.47E-05,2.90E-05,2.90E-05,2.88E-05,3.30E-05,3.85E-05,0.640796347,0.779028969,0.697184057,-0.538534164,-0.379197121,0.068376541,0.072520256,-0.015036583,-0.057750702,-0.041734695,0.035737991,0.028900146,0.024055481,FALSE,Central
2018,12,9,20,27.8,107.5,810.9464111,1.598924,-3.3398956,-2.1975006,0.918727215,-0.61,1.645762549,17.955119,-24.4432434,-13.3186859,1.2630402,4.0944611,1.9251648,-0.3630737,-3.3826202,-3.6266846,-0.8925995,0.4408813,0.054900837,0.090681505,0.323700647,0.64120081,0.987788277,0.979750156,0.956117868,0.967358341,0.923732881,0.921586628,-0.103815079,-0.316403389,-0.057941437,-0.245498657,-0.249490738,-0.03459549,0.067523003,0.043143272,0.016018867,0.014029503,TRUE,Southwestern
2010,2,14,20,30.8,104.4,442.5822449,2.567251,2.952005,4.202951,0.915664728,3.6184914,1.411308477,10.1222125,-27.4701599,-12.8448395,-12.8550018,-11.5821136,-8.9449219,-6.1105713,-2.7392792,0.4354187,3.8523193,5.3346344,3.28E-06,7.70E-06,1.84E-05,1.98E-05,2.35E-05,2.81E-05,3.35E-05,0.896392813,0.828507738,0.900204868,0.426492691,0.097372055,0.046595573,0.002727509,-0.006191254,-0.01541996,-0.095488548,-0.218615532,-0.169737816,-0.094154358,FALSE,Southwestern
2014,2,7,14,37.6,120.3,11.46058178,0.462192,-8.7878326,-2.9378571,0.640481885,-4.7416258,3.393311834,0.5475392,-36.5835022,-23.8514618,-15.3320526,-15.2511963,-14.6038879,-13.4198517,-11.8789886,-10.9934906,-8.1884064,-6.2659058,2.20E-07,2.98E-07,1.23E-05,1.22E-05,1.20E-05,1.24E-05,1.17E-05,0.706645269,0.893765116,0.795360851,0.012330055,0.046196938,0.200108528,0.138250351,0.149889946,0.153413773,0.145401001,0.108176231,-0.024178505,-0.083157539,FALSE,Southeastern
